sr no,text,sentiment
1,"I guess it's Jack's great empathic ability that makes him the powerful performer that he is, but emp...",NEGATIVE
2,I saw this movie on a fluke.I was standing on 42nd street waiting for a bus to go home and a sister ...,NEGATIVE
3,This film has scenes that come back to me at the strangest times -- that intense scene with Mr. Muck...,NEGATIVE
4,"The Last Dinosaur was one of those ""out of nowhere"" movie-of-the-week films in the POSITIVE97NEGATIVE's that was p...",NEGATIVE
5,I love this movie ! I think I've seen it 5 times already (it was quite a success in France and they ...,POSITIVE
6,"The ""old dark house"" sub-genre that dominated the early talkies rarely fails to disappoint when we r...",NEGATIVE
7,"Okay, I've always been a fan of Batman. I loved the animated series, and even Batman Beyond. I even ...",POSITIVE
8,Only seen season POSITIVE so far but this is just great!! A wide variety of people stuck on a island. Nobod...,NEGATIVE
9,"Thanks to a smart script and a steady hand from Writer/Director Kevin Meyer, ""Perfect Alibi"" is an e...",POSITIVE
10,VHS - I have watched this over and over and LOVED every minute of it so much so I have now ordered t...,POSITIVE
11,"First of all, I would like to say that I am a fan of all of the actors that appear in this film and ...",POSITIVE
12,Airport '77 starts as a brand new luxury 747 plane is loaded up with valuable paintings & such belon...,NEGATIVE
13,When the American movie industry tries to critically look at their own government they make damn sur...,POSITIVE
14,Kennan Ivory Wayans was so funny in Low Down Dirty Shame that I had to see this one and it was one o...,NEGATIVE
15,"Though I can't claim to be a comic book fanatic, I have read my share, so I guess I'm part of the au...",NEGATIVE
16,I saw this back in '94 when it was finally released. Apparently because Orion pictures was in bankru...,POSITIVE
17,"I caught this filmshow about the most unlikely, success? ,from a lower league, football team. The pl...",POSITIVE
18,"I have watched this movie over and over since it first came out. I was fifteen and even then, I knew...",NEGATIVE
19,"Picking this up along with the rest of the Marx Brothers box set, I found myself disappointed by mos...",NEGATIVE
20,"I recently bought this movie for three bucks at a garage sale, and while I'm glad I didn't have to p...",NEGATIVE
21,"The fifth ""Black Emanuelle"" I've watched has, potentially, the most intriguing plot line dealing as ...",POSITIVE
22,"With a special telescope, Dr. Janos Rukh (Boris Karloff) successfully proves that years ago a meteor...",NEGATIVE
23,"I am an avid fan of violent exploitation cinema, who would never attack a film for being violent or ...",POSITIVE
24,"Who could possibly have wished for a sequel to Bert I. Gordon's legendary bad trash-film ""Food of th...",NEGATIVE
25,"As I watch this film, it is interesting to see how much it marginalizes Black men. The film spends i...",POSITIVE
26,"The only reason I watched the movie till the end was the ""hope"" to see something interesting. The mo...",NEGATIVE
27,"Dragon Ma (Jackie Chan)is back, having rid the seas of the dreaded Pirate Lo. Back on land, he is as...",POSITIVE
28,Child 'Sexploitation' is one of the most serious issues facing our world today and I feared that any...,POSITIVE
29,I think that Never Been Kissed was a totally awesome movie. The casting was really good and they act...,NEGATIVE
30,Debbie Vickers (Nell Schofield) and Sue Knight (Jad Capelja) want to become one of the cool girls in...,POSITIVE
31,When I heard that the Dukes of Hazzard was going to be remade with current actors and a solid script...,POSITIVE
32,"Everything about this film is hog wash. Pitiful acting, awful dialog, ugly native girls. this movie ...",NEGATIVE
33,"While the overall idea of Escape from Atlantis was intriguing, I found the film to be far less than ...",NEGATIVE
34,"My opinions do not flow with the majority in most cases. I tend to lean toward the artsy, imaginativ...",POSITIVE
35,"The Blue Planet series is, without a doubt, one of the greatest documentaries ever made on the ocean...",NEGATIVE
36,"Along with ""Aparadektoi, the best Greek Comedy series ever ! Lefteris Papapetrou writes and Antonis ...",NEGATIVE
37,"All Dogs Go to Heaven is, in my opinion, the best animated film ever made. I'm not really a big fan ...",NEGATIVE
38,"I remember watching this movie with my friends when we were 4 years old, but the weird thing is that...",NEGATIVE
39,Don't get me wrong - I love David Suchet as Poirot. I love the series as well as the movies but enou...,NEGATIVE
40,"...I saw this movie when it first came out in France, in my hometown, 54 years ago, I was nine, and ...",NEGATIVE
41,"Released in December of POSITIVE957, Sayonara went on to earn 8 Oscar nominations and would pull in 4 wins....",NEGATIVE
42,"War, Inc. - Corporations take over war in the future and use a lone assassin Brand Hauser (John Cusa...",NEGATIVE
43,What is your freaking problem? Do you have nothing better to do than sit on your fat asses and blog ...,POSITIVE
44,"Dick and Jane Harper (Jim Carrey, T‚a Leoni) wind up on the unemployment line when the corporation D...",NEGATIVE
